artist,song,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Illy,Papercuts (feat. Vera Blue),255889,2016,51,0.369,0.618,6,-6.304,0,0.249,0.161,0.0,0.257,0.467,191.863,"hip hop, pop, Dance/Electronic"
Kiiara,Gold,225882,2015,55,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,"rock, pop, Dance/Electronic"
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),214480,2016,75,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,pop
Drake,Pop Style,212946,2016,63,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,"hip hop, pop, R&B"
ZAYN,PILLOWTALK,203686,2016,59,0.588,0.702,11,-4.271,1,0.0496,0.104,0.0,0.089,0.429,124.909,"pop, Dance/Electronic"
Alessia Cara,Here,199453,2016,66,0.376,0.822,0,-3.974,1,0.104,0.0783,0.0,0.0841,0.327,120.493,"pop, R&B"
Sigala,Sweet Lovin' - Radio Edit,202149,2015,46,0.683,0.91,10,-1.231,1,0.0515,0.0553,4.78e-06,0.336,0.674,124.977,"pop, Dance/Electronic"
Drake,Jumpman,205879,2015,72,0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,"hip hop, pop, R&B"
Charlie Puth,Dangerously,199133,2016,62,0.696,0.517,2,-8.379,0,0.0366,0.364,0.0,0.197,0.23,112.291,pop
Nick Jonas,Close,234213,2016,69,0.654,0.623,6,-5.273,0,0.082,0.253,0.0,0.144,0.401,123.996,pop
The Chainsmokers,Roses,226738,2015,73,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,"pop, Dance/Electronic"
P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",215413,2016,68,0.632,0.702,7,-5.92,1,0.148,0.0114,0.0,0.108,0.523,162.958,pop
Steve Aoki,Just Hold On,198774,2016,63,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,"hip hop, pop, Dance/Electronic"
Clean Bandit,Tears (feat. Louisa Johnson),225914,2016,60,0.605,0.77,5,-3.645,0,0.0446,0.0431,0.0,0.159,0.298,130.037,"pop, Dance/Electronic"
Bastille,Good Grief,206493,2016,65,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,"pop, rock"
Sia,The Greatest (feat. Kendrick Lamar),210226,2016,68,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,pop
PARTYNEXTDOOR,Not Nice,202661,2016,62,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06,"hip hop, pop, R&B"
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",251033,2016,77,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,"hip hop, pop"
Hilltop Hoods,1955,239280,2016,63,0.766,0.5,11,-7.558,1,0.0695,0.719,5.91e-06,0.304,0.71,84.044,"hip hop, pop"
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),210573,2016,62,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,pop
Kent Jones,Don't Mind,198236,2016,63,0.464,0.771,8,-4.503,1,0.336,0.0235,0.0,0.063,0.69,158.777,hip hop
Flume,Say It,262521,2016,53,0.581,0.531,3,-6.829,0,0.0322,0.0731,3.27e-06,0.0616,0.273,75.255,Dance/Electronic
Bryson Tiller,Exchange,194613,2015,76,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,"hip hop, pop, R&B"
MØ,Final Song,235826,2016,66,0.695,0.672,1,-6.109,0,0.0345,0.014,7.95e-05,0.0756,0.245,104.988,"pop, Dance/Electronic"
Beyoncé,Sorry,232560,2016,67,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,"pop, R&B"
Frank Ocean,Pink + White,184516,2016,79,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,"hip hop, pop, R&B"
Drake,Too Good,263373,2016,74,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996,"hip hop, pop, R&B"
Ed Sheeran,Shape of You,233712,2017,84,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,pop
Sean Paul,No Lie,221176,2018,84,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,"hip hop, pop"
Sam Smith,Too Good At Goodbyes,201000,2017,79,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,pop
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),251088,2016,75,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,"pop, Dance/Electronic"
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),214265,2018,68,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,pop
The Chainsmokers,Something Just Like This,247160,2017,83,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,"pop, Dance/Electronic"
Ed Sheeran,Perfect,263400,2017,85,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,pop
MGMT,Little Dark Age,299960,2018,81,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,rock
Travis Scott,goosebumps,243836,2016,83,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,"hip hop, Dance/Electronic"
Billie Eilish,Bored,180933,2017,84,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,"pop, Dance/Electronic"
Future,Mask Off,204600,2017,79,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,"hip hop, pop"
Rae Sremmurd,Swang,208120,2016,75,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,"hip hop, pop"
Lil Peep,Save That Shit,231546,2017,77,0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,105.997,hip hop
A$AP Ferg,Plain Jane,173600,2017,74,0.797,0.844,11,-5.482,1,0.275,0.0651,0.0,0.087,0.52,170.142,"hip hop, pop"
French Montana,Unforgettable,233901,2017,82,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,"hip hop, pop"
21 Savage,Bank Account,220306,2017,74,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,hip hop
ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000,2017,77,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,"pop, Dance/Electronic"
J Balvin,Mi Gente,189029,2017,53,0.548,0.701,11,-4.862,0,0.0914,0.0178,1.34e-05,0.134,0.309,104.237,latin
Rae Sremmurd,Black Beatles,291893,2016,75,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,"hip hop, pop"
Zara Larsson,Ain't My Fault,224030,2017,67,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,"pop, Dance/Electronic"
Ayo & Teo,Rolex,238586,2017,69,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,"hip hop, pop"
Lil Uzi Vert,XO Tour Llif3,182706,2017,81,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,hip hop
Imagine Dragons,Whatever It Takes,201240,2017,80,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,rock
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),216408,2017,75,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,"hip hop, pop"
Playboi Carti,Magnolia,181812,2017,77,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,hip hop
Chord Overstreet,Hold On,198853,2017,80,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,"pop, Folk/Acoustic"
Jax Jones,Breathe,207629,2017,58,0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,"hip hop, pop, Dance/Electronic"
Natti Natasha,Criminal,232549,2017,74,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,"pop, latin"
Selena Gomez,Fetish (feat. Gucci Mane),186112,2017,69,0.708,0.618,2,-4.424,1,0.0592,0.0204,6.81e-06,0.062,0.265,123.013,pop
Big Shaq,Man's Not Hot,186026,2017,62,0.905,0.884,0,-4.076,1,0.236,0.111,8.31e-05,0.107,0.588,135.048,"pop, Dance/Electronic"
Anne-Marie,Ciao Adios,200104,2017,57,0.698,0.882,4,-3.078,0,0.0863,0.127,0.0,0.15,0.445,106.083,"pop, Dance/Electronic"
Rag'n'Bone Man,Human,200186,2017,76,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,R&B
Lil Pump,Gucci Gang,124055,2017,64,0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,hip hop
Taylor Swift,Look What You Made Me Do,211853,2017,76,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,pop
Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),207680,2017,70,0.688,0.822,0,-3.304,1,0.0537,0.0642,0.0,0.241,0.66,91.011,"pop, latin"
Kodak Black,Tunnel Vision,268186,2017,51,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,hip hop
XXXTENTACION,Jocelyn Flores,119133,2017,83,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,hip hop
Migos,Bad and Boujee (feat. Lil Uzi Vert),343150,2017,72,0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,"hip hop, pop"
Yo Gotti,Rake It Up (feat. Nicki Minaj),276333,2017,67,0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953,"hip hop, pop"
Martin Garrix,Scared to Be Lonely,220883,2017,77,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,"pop, Dance/Electronic"
Jonas Blue,Mama,181614,2017,51,0.739,0.792,11,-4.256,0,0.0418,0.091,0.0,0.0516,0.547,104.016,"pop, Dance/Electronic"
Taylor Swift,...Ready For It?,208186,2017,73,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,pop
David Guetta,2U (feat. Justin Bieber),194896,2017,67,0.548,0.65,8,-5.827,0,0.0591,0.219,0.0,0.225,0.557,144.937,"hip hop, pop, Dance/Electronic"
Migos,Slippery (feat. Gucci Mane),304041,2017,68,0.92,0.675,1,-5.661,0,0.263,0.307,0.0,0.104,0.749,141.967,"hip hop, pop"
G-Eazy,Good Life (with G-Eazy & Kehlani),225520,2017,63,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,"hip hop, pop"
The Vamps,All Night,197640,2017,73,0.538,0.804,8,-5.194,1,0.0358,0.0041,0.0,0.33,0.507,144.992,pop
Dua Lipa,New Rules,212000,2017,61,0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11e-05,0.114,0.592,116.01,pop
Cardi B,Bodak Yellow,223962,2017,59,0.929,0.723,11,-5.792,0,0.109,0.0672,0.0,0.346,0.458,125.022,"hip hop, pop"
Rag'n'Bone Man,Skin,239626,2017,67,0.564,0.745,0,-7.733,1,0.31,0.265,0.0,0.147,0.351,170.661,R&B
Zara Larsson,I Would Like,226720,2017,57,0.486,0.713,2,-3.949,0,0.0524,0.0853,0.0,0.0839,0.297,121.028,"pop, Dance/Electronic"
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),204173,2017,72,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,"hip hop, pop"
Post Malone,Congratulations,220293,2016,81,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,hip hop
Avicii,Without You (feat. Sandro Cavazza),181672,2017,77,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,"pop, Dance/Electronic"
Katy Perry,Chained To The Rhythm,237733,2017,69,0.562,0.8,0,-5.404,1,0.112,0.0814,0.0,0.199,0.471,95.029,pop
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),144244,2016,57,0.807,0.887,1,-3.892,1,0.275,0.00381,0.0,0.391,0.78,160.517,set()
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",223413,2017,79,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,"hip hop, pop, Dance/Electronic"
Migos,T-Shirt,242407,2017,64,0.865,0.687,10,-3.744,0,0.217,0.242,0.0,0.158,0.486,139.023,"hip hop, pop"
OneRepublic,Rich Love (with Seeb),201256,2017,64,0.401,0.872,1,-3.641,0,0.314,0.167,0.0,0.362,0.472,104.592,pop
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,193613,2017,61,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,"rock, pop"
Macklemore,Glorious (feat. Skylar Grey),220454,2017,74,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,"hip hop, pop"
Hayden James,NUMB,217296,2019,47,0.617,0.558,10,-7.046,0,0.0431,0.184,1.03e-06,0.0911,0.4,147.932,"pop, Dance/Electronic"
Alessia Cara,Scars To Your Beautiful,230226,2016,76,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,"pop, R&B"
2 Chainz,It's A Vibe,210200,2017,71,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,"hip hop, pop"
Starley,Call on Me - Ryan Riback Remix,222040,2016,48,0.67,0.838,0,-4.031,1,0.0362,0.0605,0.000611,0.159,0.716,105.0,"pop, Dance/Electronic"
The Vamps,Middle Of The Night,174600,2017,61,0.588,0.749,11,-4.323,0,0.058,0.0037,0.0,0.0813,0.397,130.093,pop
The Weeknd,I Feel It Coming,269186,2016,78,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,"pop, R&B"
The Chainsmokers,Paris,221506,2017,73,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,"pop, Dance/Electronic"
Big Sean,Bounce Back,222360,2017,71,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,"hip hop, pop"
Avicii,Lonely Together (feat. Rita Ora),181812,2017,53,0.655,0.666,5,-5.309,1,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,"pop, Dance/Electronic"
Cheat Codes,No Promises (feat. Demi Lovato),223503,2017,68,0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,"pop, Dance/Electronic"
Bruno Mars,24K Magic,225983,2016,78,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,pop
Kygo,It Ain't Me (with Selena Gomez),220780,2017,75,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,"pop, Dance/Electronic"
Drake,God's Plan,198973,2018,81,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,"hip hop, pop, R&B"
Post Malone,rockstar (feat. 21 Savage),218146,2018,83,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,hip hop
Offset,Ric Flair Drip (with Metro Boomin),172800,2017,80,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,"hip hop, pop"
G-Eazy,Him & I (with Halsey),268866,2017,75,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,"hip hop, pop"
Dynoro,In My Mind,184560,2018,78,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,"pop, Dance/Electronic"
Juice WRLD,Lucid Dreams,239835,2018,84,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,hip hop
Zedd,The Middle,184732,2018,80,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,"hip hop, pop, Dance/Electronic"
Marshmello,FRIENDS,202620,2018,78,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,"pop, Dance/Electronic"
Cardi B,I Like It,253390,2018,79,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,"hip hop, pop"
XXXTENTACION,Moonlight,135090,2018,82,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,hip hop
Ariana Grande,no tears left to cry,205920,2018,77,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,pop
Sheck Wes,Mo Bamba,183906,2018,77,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,hip hop
Calvin Harris,One Kiss (with Dua Lipa),214846,2018,81,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,"hip hop, pop, Dance/Electronic"
Tyga,Taste (feat. Offset),232959,2018,73,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,"hip hop, pop"
Travis Scott,SICKO MODE,312820,2018,81,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,"hip hop, Dance/Electronic"
Imagine Dragons,Natural,189466,2018,80,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,rock
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212500,2018,76,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,"hip hop, pop, Dance/Electronic"
Marshmello,Spotlight,177600,2018,71,0.546,0.822,7,-4.483,1,0.151,0.0145,0.0,0.742,0.615,150.06,"pop, Dance/Electronic"
The Weeknd,Pray For Me (with Kendrick Lamar),211440,2018,69,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,"pop, R&B"
Billie Eilish,lovely (with Khalid),200185,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,"pop, Dance/Electronic"
Migos,Walk It Talk It,276147,2018,75,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,"hip hop, pop"
Clean Bandit,Solo (feat. Demi Lovato),222653,2018,71,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,"pop, Dance/Electronic"
Drake,Nonstop,238614,2018,77,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,"hip hop, pop, R&B"
6ix9ine,FEFE,179404,2018,42,0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.376,125.978,hip hop
The Weeknd,Call Out My Name,228373,2018,80,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,"pop, R&B"
Nio Garcia,Te Boté - Remix,417920,2018,76,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,latin
Migos,MotorSport,303076,2018,72,0.904,0.518,2,-5.32,1,0.183,0.0305,0.0,0.325,0.188,137.996,"hip hop, pop"
Nicky Jam,X,172854,2019,74,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,latin
XXXTENTACION,SAD!,166605,2018,82,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,hip hop
Becky G,Sin Pijama,188560,2018,69,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,"pop, latin"
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",202804,2017,71,0.653,0.718,3,-5.232,0,0.213,0.00413,0.0,0.0537,0.216,82.034,"hip hop, pop"
6ix9ine,GUMMO,157643,2018,63,0.66,0.775,2,-4.926,1,0.172,0.0553,0.0,0.129,0.635,157.036,hip hop
The Chainsmokers,Sick Boy,193200,2018,69,0.663,0.577,11,-7.518,0,0.0531,0.109,0.0,0.12,0.454,89.996,"pop, Dance/Electronic"
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",229670,2018,71,0.645,0.705,1,-5.008,1,0.299,0.000813,0.0,0.128,0.376,137.133,"hip hop, pop"
Rich The Kid,Plug Walk,175229,2018,72,0.876,0.519,11,-6.531,1,0.143,0.202,0.0,0.108,0.158,94.981,"hip hop, pop"
Kendrick Lamar,All The Stars (with SZA),232186,2018,80,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,hip hop
Logic,Everyday,204746,2018,69,0.667,0.741,1,-4.099,1,0.0378,0.0425,0.0,0.0761,0.422,149.908,"hip hop, pop"
Jason Derulo,Tip Toe (feat. French Montana),187521,2017,64,0.845,0.709,10,-4.547,0,0.0714,0.0233,0.0,0.094,0.62,98.062,"hip hop, pop"
Ariana Grande,God is a woman,197546,2018,78,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,pop
Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,332300,2018,66,0.713,0.831,1,-4.75,0,0.15,0.0168,0.0,0.118,0.584,173.948,"hip hop, pop"
EO,German,170825,2018,67,0.862,0.583,8,-6.26,0,0.0654,0.811,1.86e-05,0.191,0.852,103.019,set()
