Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
OMG,NewJeans,2023,212253,0.804,0.771,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,79
Super Shy,NewJeans,2023,154666,0.776,0.817,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,81
Supernatural,NewJeans,2023,191000,0.699,0.708,-4.182,0,0.0496,0.185,8.43e-06,0.0921,0.863,108.887,83
Chun-Li,Nicki Minaj,2018,191600,0.686,0.73,-5.077,0,0.374,0.278,4.76e-05,0.106,0.474,128.943,66
Pills N Potions,Nicki Minaj,2015,268000,0.391,0.604,-8.104,1,0.212,0.00812,4.91e-06,0.0443,0.168,169.391,55
Truffle Butter,Nicki Minaj,2015,220466,0.89,0.667,-6.862,1,0.0521,0.0572,3.03e-05,0.108,0.522,105.103,62
AIN'T GONNA ANSWER,NLE Choppa,2023,187453,0.879,0.875,-1.868,0,0.18,0.0808,0.0,0.327,0.763,95.021,58
Camelot,NLE Choppa,2020,148759,0.787,0.713,-5.252,1,0.401,0.0849,0.0,0.717,0.761,175.046,71
Catalina,NLE Choppa,2022,180000,0.828,0.837,-3.963,0,0.0559,0.0295,0.002,0.147,0.821,116.955,61
Final Warning,NLE Choppa,2021,156894,0.847,0.912,-3.129,1,0.257,0.0781,0.0,0.142,0.88,81.486,62
PISTOL PACCIN,NLE Choppa,2023,149449,0.831,0.793,-4.127,1,0.369,0.0195,0.0,0.259,0.833,144.967,75
Shotta Flow (feat. Blueface) - Remix,NLE Choppa,2019,176631,0.893,0.514,-4.776,1,0.424,0.0245,0.0,0.142,0.555,120.077,72
Shotta Flow 6,NLE Choppa,2022,192147,0.859,0.596,-7.021,1,0.329,0.0194,0.0,0.0489,0.479,140.064,57
All My Love,Noah Kahan,2023,251510,0.666,0.665,-7.181,1,0.0534,0.309,0.0,0.0961,0.474,116.002,80
Call Your Mom,Noah Kahan,2023,278670,0.485,0.215,-12.124,1,0.0348,0.703,3.55e-06,0.115,0.159,172.122,74
Dial Drunk (with Post Malone),Noah Kahan,2023,213817,0.669,0.606,-7.193,1,0.0292,0.124,0.0,0.112,0.69,112.108,83
Forever,Noah Kahan,2023,268353,0.394,0.256,-10.944,1,0.036,0.765,0.0,0.116,0.215,94.367,77
Homesick,Noah Kahan,2023,194416,0.505,0.624,-6.526,1,0.0373,0.0253,1.06e-05,0.314,0.413,170.076,73
New Perspective,Noah Kahan,2023,256871,0.693,0.524,-9.696,1,0.0407,0.267,1.83e-06,0.0839,0.453,156.529,72
Northern Attitude,Noah Kahan,2023,267256,0.523,0.626,-8.214,1,0.047,0.119,3.29e-05,0.107,0.323,121.291,58
Stick Season,Noah Kahan,2022,182346,0.664,0.5,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,90
You’re Gonna Go Far,Noah Kahan,2023,286369,0.586,0.358,-9.761,1,0.0308,0.556,0.0,0.11,0.365,169.925,81
Break Up with Him,Old Dominion,2015,207733,0.617,0.632,-5.381,1,0.0371,0.0675,0.0,0.108,0.564,151.988,61
Hotel Key,Old Dominion,2018,166573,0.758,0.867,-5.087,1,0.0475,0.152,0.0,0.308,0.964,102.018,68
Make It Sweet,Old Dominion,2019,187000,0.424,0.837,-4.453,1,0.0472,0.0373,0.0,0.0665,0.554,180.175,59
No Such Thing as a Broken Heart,Old Dominion,2017,176893,0.651,0.782,-4.295,1,0.0718,0.295,0.0,0.107,0.945,171.987,60
One Man Band,Old Dominion,2019,186240,0.706,0.358,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,80
Smooth Sailing,Old Dominion,2022,215080,0.334,0.738,-5.28,1,0.0437,0.0058,0.0,0.115,0.49,143.985,36
Song for Another Time,Old Dominion,2016,191826,0.498,0.804,-3.995,1,0.0332,0.125,0.0,0.167,0.697,166.054,60
Written in the Sand,Old Dominion,2017,184080,0.725,0.438,-9.602,1,0.0575,0.593,0.0,0.0842,0.76,83.984,63
Aint Gotta Dollar,Oliver Anthony Music,2023,124608,0.703,0.0859,-15.608,1,0.0364,0.825,2.91e-06,0.0754,0.343,110.028,62
I Want to go Home,Oliver Anthony Music,2023,170971,0.692,0.0436,-13.093,1,0.0717,0.943,0.0,0.114,0.197,104.891,60
Long Gone,Oliver Anthony Music,2023,142186,0.748,0.176,-11.1,1,0.0514,0.799,0.0,0.201,0.426,95.397,46
Rich Men North of Richmond,Oliver Anthony Music,2023,187244,0.678,0.264,-12.384,1,0.0622,0.753,0.0,0.302,0.528,121.722,76
"1 step forward, 3 steps back",Olivia Rodrigo,2021,163586,0.473,0.203,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,77
brutal,Olivia Rodrigo,2021,143746,0.672,0.526,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,77
deja vu,Olivia Rodrigo,2021,215506,0.442,0.612,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,84
drivers license,Olivia Rodrigo,2021,242013,0.561,0.431,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,83
enough for you,Olivia Rodrigo,2021,202826,0.638,0.259,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,75
favorite crime,Olivia Rodrigo,2021,152666,0.369,0.272,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,83
good 4 u,Olivia Rodrigo,2021,178146,0.563,0.664,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,83
happier,Olivia Rodrigo,2021,175933,0.395,0.443,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,82
"jealousy, jealousy",Olivia Rodrigo,2021,173160,0.695,0.575,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,82
traitor,Olivia Rodrigo,2021,229226,0.38,0.339,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,84
Burn It Down,Parker McCollum,2022,233869,0.461,0.718,-5.627,1,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,67
Handle On You,Parker McCollum,2023,219967,0.591,0.928,-3.925,1,0.0316,0.00441,0.0,0.291,0.619,105.025,67
Hell of a Year,Parker McCollum,2022,232653,0.655,0.482,-8.453,0,0.0305,0.411,1.46e-06,0.114,0.191,98.013,68
I Ain't Going Nowhere,Parker McCollum,2023,204489,0.562,0.691,-4.702,1,0.0328,0.00265,1.91e-06,0.105,0.483,128.059,40
Like A Cowboy,Parker McCollum,2022,226437,0.483,0.443,-6.791,1,0.034,0.611,2.46e-06,0.0981,0.215,125.017,56
Love You Like That,Parker McCollum,2022,205173,0.534,0.774,-6.058,1,0.0284,0.0135,2.78e-06,0.103,0.435,149.961,41
Pretty Heart,Parker McCollum,2020,244797,0.562,0.683,-4.427,1,0.0296,0.00531,0.0,0.107,0.384,132.0,58
El Belicon,Peso Pluma,2023,214397,0.409,0.713,-6.713,1,0.03,0.434,0.000719,0.206,0.725,97.029,67
Por Las Noches,Peso Pluma,2023,238888,0.69,0.597,-7.494,0,0.0395,0.311,4.18e-05,0.0727,0.453,185.084,74
PRC,Peso Pluma,2023,184066,0.784,0.826,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,73
ROSA PASTEL,Peso Pluma,2023,204253,0.702,0.68,-5.451,0,0.0373,0.24,0.0,0.111,0.86,122.895,69
VINO TINTO,Peso Pluma,2023,245997,0.664,0.769,-5.056,1,0.184,0.406,0.0,0.17,0.542,134.97,81
Break It Off,PinkPantheress,2023,95317,0.544,0.888,-5.003,0,0.116,0.00311,7.8e-06,0.076,0.746,171.69,62
Do You Miss Me?,PinkPantheress,2023,128853,0.647,0.871,-7.144,0,0.0936,0.0976,0.000534,0.173,0.643,129.928,56
I Must Apologise,PinkPantheress,2023,108373,0.616,0.856,-6.098,1,0.0457,0.516,0.0652,0.245,0.75,157.109,72
Just for Me,PinkPantheress,2022,116213,0.804,0.609,-7.848,1,0.0633,0.68,0.00253,0.261,0.713,133.043,64
Noticed I Cried,PinkPantheress,2023,82226,0.499,0.856,-5.705,1,0.061,0.0544,0.131,0.0734,0.394,163.956,54
Pain,PinkPantheress,2023,98544,0.829,0.617,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,83
Turn it up,PinkPantheress,2023,147020,0.771,0.565,-9.407,1,0.0299,0.672,0.000112,0.195,0.444,132.339,71
Where You Are (feat. WILLOW),PinkPantheress,2023,153706,0.689,0.872,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994,55
Call On Me,RAYE,2023,194880,0.582,0.889,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977,45
Confidence,RAYE,2023,170666,0.635,0.785,-4.421,0,0.25,0.442,0.0,0.0935,0.809,102.742,44
Escapism.,RAYE,2023,272373,0.538,0.742,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,78
Natalie Don't,RAYE,2023,194346,0.807,0.533,-4.899,0,0.0443,0.176,0.0,0.284,0.853,124.006,51
Regardless,RAYE,2023,197573,0.749,0.82,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066,56
Bad Commando,Rema,2023,105002,0.627,0.512,-7.401,0,0.123,0.584,0.0,0.128,0.57,95.334,45
Bounce,Rema,2022,187782,0.463,0.847,-6.776,0,0.0511,0.0307,0.0,0.117,0.625,114.962,57
Calm Down,Rema,2022,219813,0.811,0.781,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007,73
Dumebi,Rema,2019,179775,0.923,0.657,-5.173,0,0.0605,0.199,0.00407,0.108,0.734,110.015,65
Ginger Me,Rema,2023,205892,0.567,0.577,-7.833,0,0.134,0.134,0.000397,0.145,0.719,200.008,49
Iron Man,Rema,2023,201693,0.759,0.564,-3.584,0,0.0502,0.589,0.0357,0.0899,0.519,99.966,48
Lady,Rema,2023,213375,0.889,0.798,-6.62,1,0.256,0.0245,0.0,0.0671,0.594,119.969,42
Soundgasm,Rema,2022,204755,0.805,0.525,-7.376,0,0.0638,0.119,0.00203,0.0779,0.693,100.033,63
YAYO,Rema,2022,150760,0.732,0.747,-4.58,1,0.0424,0.0206,0.0,0.15,0.506,117.993,72
Work,Rihanna,2016,219320,0.723,0.534,-6.238,1,0.0891,0.0747,0.0,0.0919,0.551,91.974,78
Cuban Links (feat. Kevin Gates),Rod Wave,2023,192182,0.694,0.652,-8.751,1,0.296,0.248,0.0,0.0293,0.759,87.966,57
Great Gatsby,Rod Wave,2022,146751,0.678,0.567,-8.927,0,0.101,0.0454,8.8e-06,0.41,0.154,156.975,69
Heart On Ice,Rod Wave,2020,159669,0.732,0.387,-8.47,0,0.0741,0.0493,0.0,0.141,0.242,157.875,68
Rags2Riches 2 (feat. Lil Baby),Rod Wave,2021,235987,0.874,0.443,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,66
Street Runner,Rod Wave,2021,252021,0.599,0.61,-8.633,0,0.24,0.213,0.000414,0.151,0.434,159.933,69
Tombstone,Rod Wave,2021,160078,0.55,0.637,-5.212,1,0.163,0.597,0.0,0.129,0.535,84.448,68
Almost Love,Sabrina Carpenter,2022,212360,0.81,0.759,-3.029,0,0.0376,0.111,4.73e-06,0.0919,0.615,104.993,56
Espresso,Sabrina Carpenter,2023,175459,0.701,0.76,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,98
Nonsense,Sabrina Carpenter,2022,163648,0.74,0.697,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,88
Please Please Please,Sabrina Carpenter,2022,186365,0.669,0.586,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,97
Skin,Sabrina Carpenter,2022,177500,0.557,0.457,-5.372,1,0.0335,0.428,0.0,0.0567,0.328,105.918,68
Sue Me,Sabrina Carpenter,2023,179226,0.46,0.809,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,71
Why,Sabrina Carpenter,2023,171096,0.633,0.557,-4.917,0,0.203,0.169,0.0,0.0671,0.623,89.672,63
Dancing With A Stranger (with Normani),Sam Smith,2019,171029,0.741,0.52,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,76
How Do You Sleep?,Sam Smith,2019,202204,0.561,0.682,-4.931,0,0.0856,0.153,0.0,0.0763,0.359,165.944,67
Lay Me Down,Sam Smith,2015,253208,0.418,0.332,-9.482,1,0.0492,0.771,2.01e-05,0.109,0.171,119.164,70
Pray,Sam Smith,2017,221595,0.539,0.383,-9.461,0,0.0424,0.283,1.18e-05,0.0865,0.153,88.051,61
Too Good At Goodbyes,Sam Smith,2017,201000,0.715,0.372,-8.237,1,0.0443,0.638,0.0,0.169,0.474,91.931,83
Unholy (feat. Kim Petras),Sam Smith,2022,156943,0.719,0.454,-7.384,1,0.0707,0.0138,4.83e-06,0.318,0.224,131.007,78
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,2015,278987,0.261,0.302,-8.19,0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,63
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,2018,207904,0.6,0.725,-4.866,1,0.0487,0.0933,1.87e-06,0.12,0.506,102.056,70
Bad Liar,Selena Gomez,2017,214647,0.965,0.414,-6.408,1,0.0712,0.189,0.0,0.0767,0.729,121.032,64
Good For You,Selena Gomez,2015,221280,0.609,0.674,-6.484,0,0.0502,0.179,0.0,0.069,0.228,88.945,62
Hands To Myself,Selena Gomez,2016,200680,0.811,0.507,-7.161,0,0.117,0.0146,2.14e-06,0.342,0.438,111.016,63
Lose You To Love Me,Selena Gomez,2019,206458,0.516,0.342,-8.985,1,0.0425,0.55,0.0,0.21,0.0993,102.819,76
Rare,Selena Gomez,2020,220589,0.838,0.541,-6.746,1,0.0708,0.207,7.97e-05,0.103,0.637,114.996,58
Wolves,Selena Gomez,2017,197993,0.725,0.804,-4.614,0,0.0422,0.124,0.0,0.204,0.31,124.996,76
Evangeline,Stephen Sanchez,2022,177677,0.445,0.549,-7.134,1,0.0307,0.0703,0.0,0.176,0.218,109.25,66
Hey Girl,Stephen Sanchez,2022,185906,0.389,0.505,-7.777,0,0.037,0.538,0.00403,0.216,0.244,121.775,62
High,Stephen Sanchez,2023,161567,0.432,0.714,-7.933,0,0.0384,0.0876,0.000788,0.27,0.322,176.009,75
Until I Found You,Stephen Sanchez,2021,177720,0.539,0.508,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,78
Bad Habit,Steve Lacy,2022,232066,0.686,0.494,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,82
C U Girl,Steve Lacy,2022,129697,0.414,0.473,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0,81
Dark Red,Steve Lacy,2017,173104,0.603,0.784,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,86
Hate CD,Steve Lacy,2022,160182,0.824,0.716,-7.089,1,0.0526,0.000916,0.0148,0.299,0.771,107.997,49
N Side,Steve Lacy,2022,224444,0.838,0.535,-6.303,0,0.0432,0.0714,0.000302,0.208,0.894,119.946,70
Playground,Steve Lacy,2022,213797,0.482,0.788,-6.307,1,0.0432,0.115,0.00374,0.344,0.85,191.772,54
Ryd,Steve Lacy,2022,140182,0.788,0.939,-7.327,0,0.0544,0.0723,0.000181,0.133,0.98,137.002,68
Some,Steve Lacy,2022,118393,0.784,0.554,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,82
Broken Clocks,SZA,2017,231253,0.692,0.684,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,82
Garden (Say It Like Dat),SZA,2017,208400,0.73,0.457,-7.26,1,0.283,0.0705,0.0,0.124,0.549,111.352,68
Good Days,SZA,2020,279204,0.436,0.655,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,76
Hit Different,SZA,2020,202007,0.679,0.516,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,68
I Hate U,SZA,2021,173906,0.533,0.417,-8.665,0,0.148,0.514,0.0,0.114,0.376,106.534,70
Kill Bill,SZA,2023,153946,0.644,0.728,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,79
Love Galore (feat. Travis Scott),SZA,2017,275080,0.795,0.594,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,76
Snooze,SZA,2023,201800,0.559,0.551,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,87
The Weekend,SZA,2017,272186,0.4,0.366,-9.405,0,0.0597,0.242,0.0,0.126,0.161,73.313,74
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,613026,0.631,0.518,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,80
Anti-Hero,Taylor Swift,2022,200690,0.633,0.648,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,84
Bad Blood,Taylor Swift,2015,211933,0.65,0.802,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,63
cardigan,Taylor Swift,2020,239560,0.613,0.581,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,85
Delicate,Taylor Swift,2018,232253,0.75,0.404,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,81
willow,Taylor Swift,2020,214706,0.392,0.574,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,76
You Belong With Me (Taylor’s Version),Taylor Swift,2021,231124,0.632,0.773,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,81
After Hours,The Weeknd,2020,361026,0.658,0.572,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,80
Blinding Lights,The Weeknd,2019,200040,0.513,0.73,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,89
Can't Feel My Face,The Weeknd,2015,213520,0.705,0.769,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,81
Earned It (Fifty Shades Of Grey),The Weeknd,2015,277680,0.657,0.291,-8.275,0,0.0348,0.405,0.0,0.0771,0.405,119.782,72
Heartless,The Weeknd,2019,198266,0.537,0.746,-5.507,0,0.15,0.0236,1e-06,0.156,0.252,170.083,77
In The Night,The Weeknd,2015,235653,0.505,0.68,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,72
Save Your Tears,The Weeknd,2020,215626,0.679,0.825,-5.487,1,0.0309,0.0212,1.21e-05,0.543,0.644,118.049,85
Starboy,The Weeknd,2016,230453,0.679,0.587,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,88
The Hills,The Weeknd,2015,242253,0.585,0.564,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,85
Favorite Song,Toosii,2022,204000,0.814,0.38,-9.34,1,0.0494,0.274,0.0,0.098,0.434,116.029,66
Favorite Song (feat. Future) [Toxic Version],Toosii,2022,208621,0.82,0.386,-8.508,1,0.0598,0.334,0.0,0.0991,0.381,116.014,48
Fuk You Mean,Toosii,2022,176363,0.708,0.44,-10.852,0,0.0884,0.615,0.0,0.151,0.421,131.805,62
Love Cycle (with Summer Walker),Toosii,2021,215405,0.774,0.451,-8.942,0,0.239,0.0533,0.0,0.078,0.429,126.955,48
Poetic Pain,Toosii,2020,205657,0.785,0.632,-6.448,0,0.234,0.0312,0.0,0.11,0.334,73.534,44
Red Lights,Toosii,2023,153569,0.611,0.693,-6.363,1,0.256,0.0049,0.0,0.0962,0.447,150.918,38
Shake the Frost (Live),Tyler Childers,2020,175120,0.447,0.341,-9.769,1,0.0457,0.806,2.05e-06,0.686,0.371,138.969,78
35’s,Tyler Hubbard,2023,174733,0.529,0.789,-5.511,1,0.0576,0.00398,0.0,0.291,0.453,139.853,49
5 Foot 9,Tyler Hubbard,2023,189780,0.602,0.796,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,67
Dancin’ In The Country,Tyler Hubbard,2023,179640,0.657,0.871,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,72
Esa Nena,Yng Lvcas,2023,197647,0.808,0.571,-5.161,0,0.0656,0.345,4.48e-06,0.0844,0.62,170.037,47
La Bebe,Yng Lvcas,2022,223992,0.775,0.465,-8.365,0,0.365,0.609,3.23e-05,0.114,0.707,169.781,68
La Bebe - Remix,Yng Lvcas,2022,234352,0.812,0.479,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,84
Pégateme,Yng Lvcas,2023,153835,0.752,0.6,-9.687,0,0.0931,0.103,0.00551,0.0554,0.608,79.994,50
Perdonémonos,Yng Lvcas,2023,136421,0.887,0.589,-6.291,1,0.0602,0.107,0.00236,0.137,0.651,95.01,44
Perreo Porky,Yng Lvcas,2023,224842,0.887,0.598,-6.89,1,0.1,0.099,0.00179,0.101,0.768,95.01,54
Homegrown,Zac Brown Band,2015,205000,0.712,0.807,-3.976,1,0.0297,0.0244,0.000122,0.0905,0.936,105.024,69
"Burn, Burn, Burn",Zach Bryan,2022,268856,0.508,0.296,-10.513,1,0.0755,0.897,5e-05,0.11,0.134,82.532,82
Dawns (feat. Maggie Rogers),Zach Bryan,2023,290892,0.447,0.441,-7.658,1,0.0456,0.874,4.36e-05,0.188,0.286,122.811,78
God Speed,Zach Bryan,2022,253359,0.583,0.0819,-15.249,1,0.04,0.869,0.0,0.103,0.167,79.385,71
Heading South,Zach Bryan,2020,171692,0.68,0.246,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,86
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2022,227195,0.429,0.453,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,89
If She Wants a Cowboy,Zach Bryan,2023,192293,0.553,0.823,-3.194,1,0.0689,0.0201,0.0,0.111,0.552,133.781,63
Letting Someone Go,Zach Bryan,2022,239761,0.543,0.117,-15.153,1,0.0389,0.811,0.0,0.147,0.395,83.607,65
Something in the Orange,Zach Bryan,2022,228013,0.369,0.192,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,87
Summertime Blues,Zach Bryan,2022,181239,0.552,0.411,-7.946,1,0.0434,0.794,3.5e-06,0.248,0.501,78.095,67
