Artist,Followers,YearFirstAlbum
Ed Sheeran,52698756,2011
Justin Bieber,30711450,2009
Jonas Brothers,3069527,2006
Drake,41420478,2010
Chris Brown,9676862,2005
Taylor Swift,23709128,2006
Blake Shelton,4511508,2001
Nicki Minaj,16331335,2010
Panic! At The Disco,8129075,2005
Lee Brice,1094596,2010
Katy Perry,14004245,2008
Young Thug,4471452,2011
J. Cole,9417086,2009
Daddy Yankee,14076638,2002
Migos,9473441,2011
Meek Mill,3591329,2011
Lady Gaga,9370435,2008
Tyler The Creator,3384070,2011
YG,1916093,2011
DJ Khaled,4249473,2007
Luke Bryan,4556839,2007
P!nk,7214210,2000
Bruno Mars,22677758,2010
Eric Church,2226809,2006
Jason Aldean,3363492,2005
Gucci Mane,2904919,2005
Beyonce,20494887,2003
Chris Young,1605863,2006
Eli Young Band,523571,2005
Pedro Capo,685042,2007
Justin Moore,1025450,2009
Nicky Jam,10051233,2001
Nipsey Hussle,1114710,2009
Yo Gotti,2583062,2006
Cody Johnson,235754,2009
Miley Cyrus,10054490,2007
Maroon 5,20445189,2002
Lady Antebellum,2654356,2008
2 Chainz,4943181,2010
Ellie Goulding,7039401,2010
Diplo,2096548,2004
ScHoolboy Q,2774150,2011
French Montana,3080724,2007
Scotty McCreery,508501,2011
Five Finger Death Punch,3528566,2007
Jake Owen,1241447,2006
Carrie Underwood,3564883,2005
Mark Ronson,691165,2003
Gesaffelstein,283857,2011
Dierks Bentley,1962590,2003
Kelly Clarkson,5629156,2003
Kanye West,10455779,2004
Calvin Harris,18493843,2007
Steve Aoki,3263313,2007
twenty one pilots,14842963,2009
Avril Lavigne,5051153,2002
Mac Miller,3567365,2011
Wiz Khalifa,8515882,2006
Childish Gambino,5537876,2011
Ciara,4009542,2004
Li,1249783,2008
Jason Mraz,4811172,2002
Demi Lovato,15274062,2008
Foster The People,2692816,2011
Reik,3279005,2005
Juicy J,1917581,2002
Kendrick Lamar,13325462,2010
Pitbull,7293018,2004
Sugarland,1037915,2004
Gorillaz,4812524,2001
Pusha T,1447211,2011
Jay Rock,687325,2010
James Blake,903418,2011
Darius Rucker,1361255,2002
Kevin Gates,2668994,2009
Pharrell Williams,2900721,2006
Tank,446775,2001
Justin Timberlake,8365398,2002
Portugal. The Man,996901,2006
High Valley,80711,2010
Rihanna,34436700,2005
Miguel,2472516,2010
Janelle Monae,759853,2008
Plies,959477,2005
Easton Corbin,571545,2010
Big Sean,6653562,2011
Coldplay,22458057,2000
Wisin,4955084,2004
Billy Currington,1508682,2003
The Revivalists,215392,2010
David Guetta,20121007,2002
Major Lazer,5726943,2009
Jason Derulo,7121242,2010
Linkin Park,13781152,2000
Rascal Flatts,2067756,2000
Zac Brown Band,1781499,2008
Trey Songz,4510865,2005
Josh Turner,1481309,2003
Brantley Gilbert,1695231,2009
Flo Rida,7304785,2008
Lana Del Rey,9179252,2011
Paramore,4702645,2005
Lauren Alaina,303159,2011
Adele,17965158,2008
Miranda Lambert,2039592,2005
Rick Ross,3490077,2006
Little Big Town,1553147,2002
John Legend,4709602,2003
Sia,14117938,2003
Fitz And The Tantrums,493761,2010
Andy Grammer,684444,2011
Wale,2213618,2008
DJ Drama,708319,2006
The Game,2223790,2003
Grace,3232153,2003
OneRepublic,8660053,2007
Now,1610852,2010
Solange,871081,2003
Mike Posner,911203,2009
Remy Ma,397099,2006
Ben Rector,208118,2010
David Nail,259190,2009
Jeremih,3744923,2009
Disturbed,3363357,2000
Alisan Porter,11167,2009
Prince,4791836,2010
Rachel Platten,775942,2011
Gwen Stefani,3369602,2004
Randy Houser,594143,2008
Empire Of The Sun,849439,2008
Fall Out Boy,7178290,2003
Nelly,1351011,2000
Curren$Y,617001,2009
PSY,1057996,2005
Adam Lambert,941291,2009
Omarion,1508251,2005
T-Pain,2235240,2005
Prince Royce,4791836,2010
Carly Rae Jepsen,3685271,2008
NEEDTOBREATHE,523290,2006
Jessie J,6648319,2010
Hilary Duff,1414473,2002
Mumford and Sons,5370453,2009
Ne-Yo,4824205,2006
Jamie Foxx,571390,2005
Ludacris,1693928,2000
Breaking Benjamin,2595105,2002
Action Bronson,495238,2011
B.o.B,1631934,2009
Florence + The Machine,4848406,2009
Colbie Caillat,1657657,2007
T.I.,3011841,2001
Damien Rice,777312,2003
The White Buffalo,275112,2006
Big,6653562,2011
The Script,5470964,2008
OK Go,360235,2002
Jeezy,1380700,2005
Joe Nichols,441395,2002
Chris Lake,126175,2009
KONGOS,216822,2007
Ingrid Michaelson,611578,2007
Jack,2581399,2001
The Band Perry,1018054,2010
Craig Campbell,205230,2011
Afrojack,3102111,2010
Robin Thicke,1469727,2002
Christina Perri,2168781,2011
Neon Trees,785980,2010
Sara Bareilles,1274576,2004
Passenger,2335182,2007
Jerrod Niemann,348876,2010
The Black Keys,2998088,2002
Craig Morgan,544011,2000
Aloe Blacc,550613,2005
Hunter Hayes,894155,2011
Arctic Monkeys,8499414,2006
Thompson Square,302330,2007
AWOLNATION,1527216,2011
Daughtry,1232777,2006
The Fray,2657905,2005
Lupe Fiasco,1244825,2006
Dave Days,18685,2009
Tessanne Chin,16619,2010
Tamar Braxton,583774,2000
Gavin DeGraw,930874,2003
Glee Cast,1148517,2009
MIKA,911509,2006
Arcade Fire,1596031,2004
Avenged Sevenfold,3517274,2002
Rocko,288358,2006
Sean Kingston,1530744,2007
The Wanted,1880577,2010
Fantasia,997557,2004
Ace Hood,1083616,2008
Jack Johnson,2581399,2001
Fabolous,1320533,2001
Gloriana,199508,2009
Olly Murs,2555520,2010
Kelly Rowland,1992715,2002
Q-Tip,2774150,2011
will.i.am,2735395,2001
Guy Sebastian,200198,2003
Of Monsters And Men,2724060,2011
WE the Kings,936759,2007
Alicia Keys,6678108,2001
Britt Nicole,286115,2007
Michael Buble,3362672,2003
Gotye,2165817,2003
Joe Budden,271779,2003
Chris Cagle,499416,2000
The Lonely Island,831855,2009
Passion Pit,1018230,2008
Alex Clare,629079,2011
Game,2223790,2003
Lifehouse,1279264,2000
Kid Cudi,3293763,2009
50 Cent,5568346,2003
Owl City,1799638,2007
The Nocturnals,111894,2005
Love And Theft,266167,2009
Keyshia Cole,1777529,2005
Grouplove,787405,2011
NERO,724391,2011
Gym Class Heroes,1022311,2005
Slaughterhouse,218458,2009
The Killers,4891453,2004
M83.,1600929,2001
Kirko Bangz,479682,2010
Travis Porter,592423,2011
Big Time Rush,1595651,2010
Michel Telo,2047920,2009
LMFAO,3243712,2009
Waka Flocka Flame,1694515,2010
Jay Sean,971337,2004
Tony Lucca,10035,2006
Jennifer Hudson,954416,2008
Shinedown,2154640,2003
Sean Paul,2696435,2000
Breathe Carolina,277409,2008
The Scene,4541479,2009
Young The Giant,1062603,2010
deadmau5,2322739,2006
3OH!3,565935,2007
V.I.C.,92078,2008
Roscoe Dash,146346,2010
Alexandra Stan,274203,2005
Rodney Atkins,1019318,2003
New Boyz,272718,2009
Mindless Behavior,177301,2011
Bow Wow,665020,2000
Kaskade,730953,2003
Lloyd,1204119,2004
Evanescence,2402988,2003
Taio Cruz,1614352,2008
Steve Holy,21109,2000
Birdman,574133,2004
Amy Winehouse,5933500,2003
Pistol Annies,383327,2011
Tinie Tempah,652803,2010
Martin Solveig,1071961,2000
Dragonette,67440,2007
Mat Kearney,380903,2006
Marsha Ambrosius,303270,2011
Seether,1752485,2002
Don Omar,3643062,2003
Jill Scott,951139,2000
My Chemical Romance,4286046,2002
Jordin Sparks,1268023,2007
Thirty Seconds To Mars,2418168,2002
Akon,2069023,2004
Keri Hilson,1111223,2009
Edward Maya,131839,2009
Far*East Movement,883832,2009
Josh Kelley,25294,2003
Sunny Sweeney,42237,2006
Cage The Elephant,1714357,2008
Gorilla Zoe,444563,2007
Sick Puppies,523633,2001
Aaron Lewis,333529,2011
Plain White T's,722765,2005
3 Doors Down,2393833,2000
Yolanda Be Cool,26668,2010
Rise Against,1974130,2004
James Blunt,2011011,2004
The Ready Set,222484,2009
Jesse McCartney,616736,2004
Natasha Bedingfield,873824,2004
Jazmine Sullivan,896433,2008
Kings Of Leon,4008239,2003
Hannah Montana,2308157,2006
Josh Thompson,107026,2010
A Rocket To The Moon,285356,2006
Soulja Boy,892290,2007
Uncle Kracker,313271,2000
Gyptian,326136,2006
La Roux,458184,2009
Shontelle,350934,2008
Rob Thomas,459102,2005
Asher Roth,192867,2009
Timbaland,1468103,2007
V V Brown,21295,2009
Jaheim,758391,2001
Lloyd Banks,627070,2003
Lee DeWyze,43452,2007
Crystal Bowersox,13693,2010
Will Young,186988,2002
Charice,92854,2010
Kris Allen,116442,2009
Spose,52071,2008
Theory Of A Deadman,1122435,2002
Alpha Rev,6787,2008
Orianthi,47558,2009
Matisyahu,515370,2004
Melanie Fiona,468231,2009
Phoenix,1515476,2000
Boys Like Girls,770554,2006
Mario,1577454,2002
Danny Gokey,171123,2010
Kellie Pickler,498990,2006
Cascada,317591,2006
Shiny Toy Guns,88857,2006
Jason Michael Carroll,182350,2007
Three Days Grace,3232153,2003
Cobra Starship,362869,2006
Leona Lewis,1961101,2007
Susan Boyle,138687,2009
Francesca Battistelli,360472,2008
Anya Marina,37479,2005
Pleasure P,691872,2009
Chamillionaire,437580,2004
Wonder Girls,241600,2010
Dorrough,34628,2009
Darryl Worley,132355,2000
The All,1599821,2002
David Cook,183202,2008
Parachute,456779,2009
Jessie James Decker,106747,2009
Matt And Kim,322417,2009
The Ting Tings,287071,2007
Kristinia DeBarge,54930,2009
Michelle Branch,348500,2000
Maino,126400,2008
Soulja Boy Tell 'em,892290,2007
The Veronicas,566245,2005
Madcon,295616,2004
Musiq Soulchild,685302,2000
Yung L.A.,44057,2009
Chrisette Michele,321914,2007
Mike Jones,213342,2005
Lily Allen,1375457,2006
Stellar Kart,33152,2005
Silversun Pickups,414758,2005
Ashley Tisdale,708045,2007
MGMT,1588180,2007
Papa Roach,2884037,2000
Bobby V,481244,2005
Framing Hanley,134327,2007
Brooke White,6206,2006
Jim Jones,304490,2004
Ron Browz,4070,2010
Saving Abel,445889,2008
David Archuleta,295902,2008
Metro Station,199011,2007
Hinder,984864,2005
Avant,748447,2000
Secondhand Serenade,735441,2007
M.I.A.,834534,2005
Jimmy Wayne,35621,2003
Bucky Covington,76829,2007
Kardinal Offishall,29367,2001
September,95948,2004
Ray LaMontagne,697167,2004
David Banner,374128,2003
Joshua Radin,299526,2006
Shwayze,131757,2008
Flobots,126551,2008
Danity Kane,336702,2006
Flex,104438,2007
Josh Gracin,139473,2004
Flyleaf,656918,2005
Julianne Hough,16132,2008
James Otto,58387,2004
Ashanti,1612524,2002
2 Pistols,18436,2008
Phil Vassar,178766,2000
Raheem DeVaughn,283038,2005
Puddle Of Mudd,996122,2001
Kate Voegele,92291,2007
Shawty Lo,198329,2010
Augustana,159403,2005
Ashlee Simpson,482823,2004
J. Holiday,852059,2007
Aly & AJ,317553,2005
Baby Bash,449588,2002
Josh Groban,478265,2001
DragonForce,524582,2003
Feist,534848,2004
Chingy,442940,2003
Juanes,2507501,2000
Yandel,3772783,2003
Hurricane Chris,156848,2007
Serj Tankian,511819,2007
Kat DeLuna,419525,2007
Cupid,20638,2002
Nelly Furtado,1681939,2000
Yung Joc,377517,2006
Emerson Drive,146243,2002
Bobby Valentino,481244,2005
Unk,105466,2006
Crime Mob,193892,2004
Dashboard Confessional,374428,2000
Blake Lewis,10226,2007
The Red Jumpsuit Apparatus,775544,2006
India.Arie,519953,2001
Katharine McPhee,102946,2006
Paul Wall,397930,2004
Lumidee,43357,2003
Pretty Ricky,825641,2005
Rich Boy,144768,2007
Young Buck,521562,2004
Brandi Carlile,354380,2005
Good Charlotte,1520483,2001
Marques Houston,453869,2003
Hellogoodbye,149345,2006
Joss Stone,756519,2003
Regina Spektor,1007043,2004
The Fratellis,523315,2006
KT Tunstall,244211,2005
Corinne Bailey Rae,480821,2006
Norah Jones,1981134,2002
Stone Sour,1630318,2002
Lil Scrappy,382437,2006
The Shins,883556,2001
The Wreckers,54751,2006
Petey Pablo,241536,2001
Flogging Molly,443438,2000
Cartel,4711139,2002
Brooke Hogan,52597,2006
Ying Yang Twins,516777,2000
Lyfe Jennings,612968,2004
Ruben Studdard,73296,2003
Toby Love,315202,2006
Young Dro,460673,2006
The Raconteurs,561273,2006
Cham,59016,2006
Brown Boy,54960,2003
Daniel Powter,163583,2005
The Pack,16322,2006
Keane,1662997,2004
The Cheetah Girls,408142,2004
Field Mob,116173,2000
Anna Nalick,98076,2005
Taking Back Sunday,619431,2002
Pharrell,2900721,2006
Jeannie Ortega,1442,2006
Taylor Hicks,6677,2006
Audioslave,2385709,2002
Lustra,17329,2001
Angels,387528,2006
Airwaves,387528,2006
Ken,356361,2006
Anthony Hamilton,863265,2003
Dem Franchize Boyz,196136,2004
Saving Jane,12113,2005
Christina Milian,703000,2001
Bo Bice,9944,2005
Heather Headley,37903,2002
The Afters,166400,2005
Yeah Yeah Yeahs,828638,2003
Juelz Santana,391265,2003
10 Years,347803,2005
Relient K,262409,2000
High School Musical Cast,1026890,2006
Trina,472433,2000
Frankie J,295122,2003
The Click Five,135116,2005
Jamie O'Neal,62694,2000
Ryan Cabrera,47787,2004
Franz Ferdinand,1610675,2004
Gretchen Wilson,444587,2004
The Strokes,2883049,2001
Tony Yayo,148081,2005
Teairra Mari,151159,2005
Crazy Frog,145948,2005
Howie Day,213232,2003
Webbie,553047,2005
Boyz N Da Hood,254273,2005
Kem,409636,2003
Cassidy,301766,2004
The Bravery,156463,2005
Amerie,455826,2002
Trillville,141368,2008
Jet,368025,2003
Nivea,358769,2001
The Mars Volta,350852,2003
The East Side Boyz,343440,2001
Simple Plan,2214166,2004
Jadakiss,536704,2001
Monchy,373093,2004
Guerilla Black,9506,2004
The Alchemist,124214,2004
Mannie Fresh,105744,2004
Crossfade,451287,2004
Hoobastank,1267652,2001
Lil' Flip,272570,2000
Vanessa Carlton,347073,2002
Kevin Lyttle,52989,2004
Julie Roberts,82800,2004
Play,22458057,2003
Elephant Man,179825,2000
Diana DeGarmo,4011,2004
J,9417086,2009
Kimberley Locke,4093,2004
Musiq,685302,2000
Maria Mena,156664,2002
Dilated Peoples,135956,2000
Buddy Jewell,30470,2001
Sugababes,322871,2000
A Perfect Circle,971813,2000
Clay Aiken,31616,2003
Carolyn Dawn Johnson,26499,2000
Sarah Connor,302977,2001
MercyMe,862851,2001
Nick Cannon,75366,2003
Lasgo,59069,2003
Trapt,640528,2002
B2K,384220,2000
Stacie Orrico,151601,2000
Fefe Dobson,63653,2003
Smokie Norful,153440,2002
Dwele,163876,2003
Obie Trice,410479,2003
Nappy Roots,98720,2002
Cold,22458057,2006
Floetry,376753,2002
Jeff Bates,30895,2003
Panjabi MC,62563,2000
Loon,16452,2003
Vivian Green,237829,2002
Freeway,135232,2003
Amanda Perez,245043,2002
Talib Kweli,345525,2002
t.A.T.u.,354913,2002
Reina,16730,2011
Aaron Lines,8930,2003
Killer Mike,161607,2005
Clipse,176795,2002
Telepopmusik,136625,2001
Oakenfold,124743,2001
DJ Sammy,43862,2002
TRUSTcompany,65013,2002
Craig David,505548,2001
Tweet,302279,2002
BBMak,42353,2000
Dirty Vegas,28332,2002
Ruff Endz,147449,2000
Default,130899,2001
iio,18344,2002
KeKe Wyatt,360638,2001
Mr. Cheeks,12929,2001
Raphael Saadiq,330003,2002
Toya,2425,2001
Darren Hayes,50475,2002
Bubba Sparxxx,178778,2001
Alien Ant Farm,472611,2001
Sum 41,2245606,2000
Trick Pony,88558,2001
Gigi D'Agostino,354225,2004
American Hi-Fi,117936,2001
Afroman,230594,2001
Black Rob,84210,2000
Coo Coo Cal,2477,2002
Dream,681849,2007
Darude,98483,2000
Azul Azul,63213,2002
Sunshine Anderson,79300,2001
3LW,293561,2000
Amanda,23027,2011
Aaron Carter,162763,2000
Bilal,151360,2001
Carl Thomas,335717,2000
Pharoahe Monch,119669,2006
Billy Gilman,16145,2000
Sunday,619431,2002
Shyne,145645,2000
Fragma,26086,2001
Son By Four,48316,2000
Lil' Mo,110058,2001
Eric Heatherly,1093,2000
M2M,191590,2000
Sammie,265520,2000
Drama,708319,2006
Eiffel 65,173149,2001
Bon,2443408,2008
