ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
64,Heard It All Before,Sunshine Anderson,Heard It All Before,2001,0.6970000000000001,0.925,-4.209,0.0,0.216,0.0614,0.0,0.095,0.678,96.951,295827.0
65,The Space Between,Dave Matthews Band,The Space Between,2001,0.406,0.73,-6.2780000000000005,1.0,0.0315,0.0471,0.0,0.229,0.207,170.032,242000.0
66,There You'll Be,Faith Hill,There You'll Be,2001,0.325,0.532,-7.208,1.0,0.0308,0.496,0.0,0.134,0.162,129.021,220840.0
67,Love,Musiq Soulchild,Love,2001,0.5690000000000001,0.385,-9.919,0.0,0.0499,0.342,0.0,0.0876,0.339,99.738,304667.0
69,No More (Baby I'ma Do Right),3LW,No More (Baby I'ma Do Right),2001,0.721,0.723,-7.08,0.0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,263440.0
70,Turn Off the Light,Nelly Furtado,Turn Off the Light,2001,0.589,0.687,-6.222,1.0,0.097,0.0778,0.000289,0.419,0.649,180.215,276067.0
72,Play,Jennifer Lopez,Play,2001,0.775,0.729,-4.229,0.0,0.162,0.0303,0.00247,0.0361,0.895,104.719,211493.0
73,I'm Already There,Lonestar,I'm Already There,2001,0.61,0.446,-6.258,1.0,0.0655,0.916,0.0,0.221,0.611,133.56,271893.0
74,My Baby,Lil' Romeo,My Baby,2001,0.8200000000000001,0.761,-2.714,1.0,0.219,0.0481,0.0,0.218,0.584,97.423,221000.0
75,Beautiful Day,U2,Beautiful Day,2001,0.539,0.926,-6.495,1.0,0.0499,0.014,0.00136,0.36,0.454,136.279,246400.0
76,Austin,Blake Shelton,Austin,2001,0.605,0.609,-7.063,1.0,0.0278,0.188,0.0,0.0982,0.275,119.914,230333.0
77,Southern Hospitality,Ludacris,Southern Hospitality,2001,0.623,0.896,-4.719,1.0,0.247,0.035,0.0,0.0941,0.613,95.158,300933.0
78,Grown Men Don't Cry,Tim McGraw,Grown Men Don't Cry,2001,0.657,0.513,-8.514,1.0,0.024,0.199,0.0,0.0994,0.56,101.815,235760.0
79,Livin' It Up,Ja Rule,Livin' It Up,2001,0.875,0.774,-4.087,1.0,0.309,0.0547,0.0,0.0414,0.606,106.027,257133.0
80,Loverboy,Mariah Carey,Loverboy,2001,0.721,0.79,-4.125,1.0,0.124,0.183,0.0,0.1,0.8210000000000001,103.141,229173.0
81,Contagious,The Isley Brothers,Contagious,2001,0.709,0.449,-7.251,0.0,0.04,0.24,0.0,0.134,0.204,113.023,346467.0
82,Who I Am,Jessica Andrews,Who I Am,2001,0.463,0.674,-5.422,1.0,0.0319,0.0115,0.0,0.123,0.259,84.039,255234.0
83,Music,Erick Sermon,Music,2001,0.897,0.466,-9.053,0.0,0.203,0.187,1.35e-06,0.0757,0.884,100.01,223133.0
83,Music,Marvin Gaye,Music,2001,0.866,0.638,-7.779,0.0,0.0343,0.253,0.000251,0.0784,0.8,104.048,307533.0
84,I Wanna Be Bad,Willa Ford,I Wanna Be Bad,2001,0.647,0.8180000000000001,-3.47,0.0,0.0647,0.234,1.89e-05,0.216,0.8160000000000001,180.019,183560.0
85,Don't Happen Twice,Kenny Chesney,Don't Happen Twice,2001,0.499,0.708,-7.029,1.0,0.0301,0.00626,1.15e-05,0.0423,0.617,158.785,203067.0
86,One More Day,Diamond Rio,One More Day,2001,0.668,0.405,-7.629,1.0,0.0277,0.592,0.0,0.115,0.234,131.064,216173.0
87,I Wish,R. Kelly,I Wish,2001,0.42,0.463,-9.056,1.0,0.12,0.068,0.0,0.119,0.659,78.83,334000.0
88,It's a Great Day to Be Alive,Travis Tritt,It's a Great Day to Be Alive,2001,0.336,0.854,-1.895,1.0,0.0443,0.278,0.0,0.874,0.536,140.77,249987.0
89,I'm a Thug,Trick Daddy,I'm a Thug,2001,0.613,0.674,-4.759,1.0,0.293,0.0877,0.0,0.138,0.654,179.69,217640.0
91,You Shouldn't Kiss Me Like This,Toby Keith,You Shouldn't Kiss Me Like This,2001,0.439,0.665,-7.671,1.0,0.0351,0.474,1.56e-05,0.26,0.328,168.707,223467.0
93,Dance with Me,Debelah Morgan,Dance with Me,2001,0.85,0.674,-7.981,0.0,0.0373,0.309,0.000645,0.0356,0.74,115.005,220107.0
94,"So Fresh, So Clean",Outkast,"So Fresh, So Clean",2001,0.725,0.64,-7.905,0.0,0.332,0.0281,0.0,0.099,0.915,166.028,240027.0
95,E.I.,Nelly,E.I.,2001,0.834,0.481,-7.824,0.0,0.188,0.0732,0.0,0.0934,0.406,89.849,285907.0
96,Be Like That,3 Doors Down,Be Like That,2001,0.487,0.7020000000000001,-6.043,1.0,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,265907.0
98,Oochie Wally,Nas,Oochie Wally,2001,0.655,0.759,-6.408,1.0,0.321,0.0546,0.0005859999999999,0.589,0.711,93.704,297907.0
98,Oochie Wally,Bravehearts,Oochie Wally,2001,0.586,0.424,-17.692,1.0,0.382,0.0643,0.000669,0.499,0.789,93.253,238413.0
99,Hero,Enrique Iglesias,Hero,2001,0.581,0.651,-5.617,1.0,0.0392,0.143,1.05e-05,0.107,0.146,151.959,264600.0
100,Hemorrhage (In My Hands),Fuel,Hemorrhage (In My Hands),2001,0.301,0.8230000000000001,-4.072,1.0,0.0433,0.000144,0.000309,0.0833,0.372,152.017,236867.0
1,How You Remind Me,Nickelback,How You Remind Me,2002,0.446,0.764,-5.042,1.0,0.033,0.00135,0.0,0.099,0.543,172.094,223840.0
2,Foolish,Ashanti,Foolish,2002,0.665,0.6950000000000001,-5.763,1.0,0.0532,0.347,0.0,0.106,0.707,90.119,227387.0
3,Hot in Herre,Nelly,Hot in Herre,2002,0.956,0.745,-4.753,0.0,0.12,0.206,0.0,0.0615,0.912,107.075,228240.0
4,Dilemma,Nelly,Dilemma,2002,0.727,0.552,-8.074,0.0,0.14,0.227,0.000164,0.198,0.607,168.189,289160.0
5,Wherever You Will Go,The Calling,Wherever You Will Go,2002,0.558,0.719,-5.113,1.0,0.0267,0.0367,0.0,0.115,0.371,112.027,208600.0
6,A Thousand Miles,Vanessa Carlton,A Thousand Miles,2002,0.56,0.8250000000000001,-3.862,1.0,0.0379,0.323,0.0,0.161,0.268,94.931,237493.0
7,In the End,Linkin Park,In the End,2002,0.556,0.864,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0
8,What's Luv?,Fat Joe,What's Luv?,2002,0.839,0.754,-4.165,1.0,0.0794,0.0119,4.7300000000000005e-06,0.0462,0.866,93.863,229933.0
9,U Got It Bad,Usher,U Got It Bad,2002,0.8160000000000001,0.5,-4.551,1.0,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840.0
10,Blurry,Puddle of Mudd,Blurry,2002,0.431,0.938,-4.507,0.0,0.0542,0.00805,0.0,0.138,0.523,157.462,304000.0
11,Complicated,Avril Lavigne,Complicated,2002,0.585,0.776,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0
12,Always on Time,Ja Rule,Always on Time,2002,0.8320000000000001,0.6990000000000001,-6.322,0.0,0.209,0.202,0.0,0.131,0.853,96.652,245867.0
12,Always on Time,Ashanti,Always on Time,2002,0.743,0.779,-6.187,1.0,0.054,0.0975,2.85e-06,0.5,0.665,99.308,235813.0
13,Ain't It Funny (Murder Remix),Jennifer Lopez,Ain't It Funny (Murder Remix),2002,0.781,0.746,-2.686,1.0,0.17,0.364,0.0,0.098,0.786,89.43,229800.0
14,The Middle,Jimmy Eat World,The Middle,2002,0.643,0.849,-5.428,1.0,0.0526,0.0371,0.0,0.058,0.903,162.152,165853.0
15,I Need a Girl (Part One),P. Diddy,I Need a Girl (Part One),2002,0.736,0.651,-10.347,1.0,0.0536,0.425,0.00722,0.104,0.927,89.214,241074.0
16,U Don't Have to Call,Usher,U Don't Have to Call,2002,0.793,0.5680000000000001,-4.958,1.0,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005,269400.0
17,Family Affair,Mary J. Blige,Family Affair,2002,0.911,0.551,-3.75,0.0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867.0
18,I Need a Girl (Part Two),P. Diddy,I Need a Girl (Part Two),2002,0.59,0.404,-9.308,1.0,0.423,0.328,0.0,0.0449,0.792,199.75,286043.0
19,Gangsta Lovin',Eve,Gangsta Lovin',2002,0.723,0.84,-3.523,0.0,0.0608,0.0619,0.0,0.0945,0.8270000000000001,94.332,239267.0
20,My Sacrifice,Creed,My Sacrifice,2002,0.32,0.88,-6.035,1.0,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,294600.0
21,Without Me,Eminem,Without Me,2002,0.908,0.669,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0
22,Hero,Enrique Iglesias,Hero,2002,0.581,0.651,-5.617,1.0,0.0392,0.143,1.05e-05,0.107,0.146,151.959,264600.0
23,All You Wanted,Michelle Branch,All You Wanted,2002,0.499,0.72,-9.101,1.0,0.0286,0.00466,0.00303,0.122,0.652,96.103,217680.0
25,Hero,Chad Kroeger,Hero,2002,0.427,0.843,-4.54,1.0,0.0364,0.00216,0.0,0.179,0.304,147.387,200480.0
25,Hero,Josey Scott,Hero,2002,0.389,0.517,-12.305,1.0,0.0361,0.000621,0.462,0.102,0.173,147.15,192993.0
26,Wasting My Time,Default,Wasting My Time,2002,0.449,0.776,-5.594,1.0,0.0322,0.00171,0.0,0.0698,0.198,148.11,269307.0
27,One Last Breath,Creed,One Last Breath,2002,0.386,0.677,-5.83,1.0,0.0346,0.00841,0.00366,0.341,0.195,126.602,238240.0
28,"Whenever, Wherever",Shakira,"Whenever, Wherever",2002,0.794,0.8320000000000001,-4.862,0.0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,196160.0
29,I'm Gonna Be Alright,Jennifer Lopez,I'm Gonna Be Alright,2002,0.843,0.612,-4.71,0.0,0.157,0.0573,0.000305,0.154,0.791,93.975,200200.0
31,Heaven,DJ Sammy,Heaven,2002,0.5710000000000001,0.953,-5.601,1.0,0.0548,0.0011,0.000606,0.226,0.601,137.965,233600.0
31,Heaven,Yanou,Heaven,2002,0.805,0.8160000000000001,-10.058,0.0,0.0835,0.0668,0.925,0.0346,0.891,137.973,235547.0
31,Heaven,Do,Heaven,2002,0.306,0.647,-9.969,1.0,0.0316,0.0768,0.0,0.366,0.321,148.087,384467.0
32,Hey Baby,No Doubt,Hey Baby,2002,0.705,0.872,-3.557,0.0,0.126,0.0618,0.0,0.227,0.75,93.628,207040.0
33,Girlfriend,NSYNC,Girlfriend,2002,0.748,0.809,-5.213,0.0,0.0904,0.0857,1.48e-05,0.0282,0.868,93.963,253600.0
33,Girlfriend,Nelly,Girlfriend,2002,0.662,0.967,-3.751,0.0,0.0449,0.0596,0.0768,0.673,0.357,122.999,281667.0
34,Just a Friend 2002,Mario,Just a Friend 2002,2002,0.538,0.677,-6.099,1.0,0.187,0.00541,0.0,0.236,0.913,132.346,214200.0
35,Soak Up the Sun,Sheryl Crow,Soak Up the Sun,2002,0.717,0.733,-4.985,1.0,0.0427,0.0398,0.0,0.136,0.713,119.996,292307.0
37,Nothin',N.O.R.E.,Nothin',2002,0.791,0.863,-6.118,0.0,0.151,0.317,1.13e-06,0.27,0.742,97.035,264653.0
38,Oops (Oh My),Tweet,Oops (Oh My),2002,0.66,0.536,-8.786,0.0,0.29,0.233,0.00669,0.111,0.775,159.963,237800.0
39,A Moment Like This,Kelly Clarkson,A Moment Like This,2002,0.414,0.5720000000000001,-3.918,1.0,0.0311,0.163,0.0,0.115,0.16,145.184,228280.0
40,Addictive,Truth Hurts,Addictive,2002,0.7010000000000001,0.677,-6.591,0.0,0.147,0.0737,0.0001619999999999,0.187,0.367,99.271,226440.0
41,Happy,Ashanti,Happy,2002,0.727,0.515,-6.553,0.0,0.0289,0.241,3.74e-06,0.124,0.6950000000000001,89.488,262227.0
42,No Such Thing,John Mayer,No Such Thing,2002,0.668,0.739,-4.9190000000000005,1.0,0.0308,0.0383,0.0,0.13,0.5710000000000001,131.918,231467.0
44,Down 4 U,Charli Baltimore,Down 4 U,2002,0.64,0.59,-7.442,1.0,0.32,0.252,0.0,0.665,0.519,83.133,318213.0
45,Can't Get You Out of My Head,Kylie Minogue,Can't Get You Out of My Head,2002,0.536,0.98,-5.679,0.0,0.258,0.13,0.322,0.712,0.243,128.017,365213.0
46,Superman (It's Not Easy),Five for Fighting,Superman (It's Not Easy),2002,0.382,0.416,-9.303,1.0,0.0302,0.0733,0.0,0.0719,0.125,102.089,221693.0
47,Cleanin' Out My Closet,Eminem,Cleanin' Out My Closet,2002,0.908,0.758,-4.753,0.0,0.174,0.0687,0.0,0.0783,0.87,148.015,297840.0
48,Halfcrazy,Musiq Soulchild,Halfcrazy,2002,0.412,0.77,-6.057,0.0,0.18,0.462,1.5e-06,0.0485,0.418,101.955,254493.0
49,"Lights, Camera, Action!",Mr. Cheeks,"Lights, Camera, Action!",2002,0.85,0.893,-6.496,1.0,0.185,0.027,0.0,0.0796,0.811,105.522,246200.0
50,Still Fly,Big Tymers,Still Fly,2002,0.675,0.607,-3.5380000000000003,1.0,0.162,0.0302,8.97e-06,0.339,0.56,177.928,335613.0
51,A Woman's Worth,Alicia Keys,A Woman's Worth,2002,0.652,0.41,-8.323,0.0,0.158,0.333,0.0,0.064,0.495,75.09,303333.0
52,7 Days,Craig David,7 Days,2002,0.659,0.812,-7.499,0.0,0.0487,0.23,0.0,0.0951,0.888,83.014,235133.0
54,Work It,Missy Elliott,Work It,2002,0.884,0.677,-5.603,1.0,0.283,0.0778,0.0,0.0732,0.584,101.868,263227.0
55,Move Bitch,Ludacris,Move Bitch,2002,0.777,0.764,-5.681,1.0,0.141,0.243,0.0,0.103,0.174,177.868,270867.0
56,Can't Fight the Moonlight,LeAnn Rimes,Can't Fight the Moonlight,2002,0.628,0.834,-6.341,0.0,0.0497,0.403,0.0,0.051,0.626,97.865,215507.0
57,Escape,Enrique Iglesias,Escape,2002,0.777,0.852,-5.329,1.0,0.0295,0.0299,0.000498,0.145,0.877,125.994,208040.0
58,More Than A Woman,Aaliyah,More Than A Woman,2002,0.655,0.649,-5.6530000000000005,0.0,0.089,0.0793,0.0003929999999999,0.117,0.759,86.968,229867.0
59,Hella Good,No Doubt,Hella Good,2002,0.772,0.665,-3.947,1.0,0.0349,0.0136,0.012,0.0905,0.838,115.138,242587.0
60,I Love You,Faith Evans,I Love You,2002,0.489,0.757,-4.062,0.0,0.0926,0.00981,0.0,0.234,0.5670000000000001,168.004,267160.0
61,Gotta Get thru This,Daniel Bedingfield,Gotta Get thru This,2002,0.837,0.765,-5.007,0.0,0.0631,0.0852,7.08e-05,0.1,0.912,133.57,161200.0
62,"Pass the Courvoisier, Part II",Busta Rhymes,"Pass the Courvoisier, Part II",2002,0.6970000000000001,0.793,-4.699,0.0,0.323,0.0844,0.0,0.0619,0.56,89.767,238600.0
63,Lose Yourself,Eminem,Lose Yourself,2002,0.6920000000000001,0.744,-4.565,1.0,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467.0
64,Butterflies,Michael Jackson,Butterflies,2002,0.708,0.655,-2.69,1.0,0.0883,0.0583,2.1e-06,0.11,0.545,89.99,279160.0
65,What About Us?,Brandy,What About Us?,2002,0.524,0.732,-1.595,0.0,0.355,0.257,0.0,0.439,0.736,185.932,250067.0
66,Underneath Your Clothes,Shakira,Underneath Your Clothes,2002,0.616,0.597,-5.328,1.0,0.0415,0.6910000000000001,0.0,0.104,0.362,165.508,224067.0
67,Rainy Dayz,Mary J. Blige,Rainy Dayz,2002,0.476,0.663,-6.905,1.0,0.191,0.182,0.0,0.321,0.525,74.884,276360.0
68,Differences,Ginuwine,Differences,2002,0.562,0.594,-4.578,0.0,0.0558,0.318,0.0,0.311,0.423,62.876,265533.0
69,If I Could Go!,Angie Martinez,If I Could Go!,2002,0.592,0.643,-7.486,0.0,0.354,0.169,0.0,0.0395,0.6990000000000001,195.558,244467.0
70,The Whole World,Outkast,The Whole World,2002,0.8140000000000001,0.852,-6.176,1.0,0.401,0.0958,1.32e-06,0.0288,0.717,184.682,295347.0
71,Underneath It All,No Doubt,Underneath It All,2002,0.729,0.731,-4.823,1.0,0.0682,0.235,1.35e-06,0.391,0.838,138.204,302720.0
71,Underneath It All,Lady Saw,Underneath It All,2002,0.776,0.719,-8.641,1.0,0.0373,0.0454,0.48,0.122,0.966,138.044,250567.0
72,Caramel,City High,Caramel,2002,0.801,0.66,-8.267,0.0,0.286,0.175,9.5e-06,0.0748,0.295,93.036,212293.0
73,Luv U Better,LL Cool J,Luv U Better,2002,0.667,0.808,-3.878,1.0,0.238,0.239,0.0,0.298,0.712,95.075,286907.0
74,Gimme the Light,Sean Paul,Gimme the Light,2002,0.778,0.761,-5.529,1.0,0.0525,0.141,4.6e-05,0.0441,0.923,107.288,228000.0
75,Gone,NSYNC,Gone,2002,0.704,0.409,-8.581,0.0,0.0597,0.43,0.0,0.109,0.495,113.863,292000.0
76,Livin' It Up,Ja Rule,Livin' It Up,2002,0.875,0.774,-4.087,1.0,0.309,0.0547,0.0,0.0414,0.606,106.027,257133.0
77,Rollout (My Business),Ludacris,Rollout (My Business),2002,0.921,0.668,-8.73,1.0,0.235,0.0949,0.0,0.592,0.892,131.059,296587.0
78,Here Is Gone,Goo Goo Dolls,Here Is Gone,2002,0.338,0.685,-5.178,1.0,0.0322,0.00052,0.000512,0.109,0.221,102.192,238173.0
79,No More Drama,Mary J. Blige,No More Drama,2002,0.653,0.837,-6.818,0.0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,326240.0
80,Days Go By,Dirty Vegas,Days Go By,2002,0.786,0.853,-8.274000000000001,0.0,0.0688,0.0499,0.0872,0.35,0.309,126.99,432147.0
81,Baby,Ashanti,Baby,2002,0.71,0.797,-3.006,0.0,0.0582,0.408,0.0,0.16,0.849,94.998,209120.0
82,The Good Stuff,Kenny Chesney,The Good Stuff,2002,0.612,0.62,-9.785,1.0,0.0645,0.255,0.0,0.129,0.502,143.78,200440.0
83,We Thuggin',Fat Joe,We Thuggin',2002,0.896,0.649,-3.792,1.0,0.208,0.177,0.0,0.0759,0.8220000000000001,99.107,213533.0
84,Good Morning Beautiful,Steve Holy,Good Morning Beautiful,2002,0.5650000000000001,0.5,-8.822,1.0,0.031,0.452,0.0,0.137,0.242,70.984,210933.0
85,Rock the Boat,Aaliyah,Rock the Boat,2002,0.637,0.725,-5.073,1.0,0.0333,0.0702,0.00438,0.203,0.415,92.99,274733.0
86,Drive (For Daddy Gene),Alan Jackson,Drive (For Daddy Gene),2002,0.713,0.579,-8.066,1.0,0.0413,0.338,0.0,0.174,0.511,125.179,242733.0
87,Standing Still,Jewel,Standing Still,2002,0.614,0.681,-6.616,1.0,0.0337,0.152,7.32e-06,0.0797,0.341,123.898,270333.0
89,Full Moon,Brandy,Full Moon,2002,0.6920000000000001,0.656,-4.8100000000000005,0.0,0.151,0.358,0.0029,0.0929,0.629,105.994,248933.0
90,Uh Huh,B2K,Uh Huh,2002,0.855,0.681,-4.955,1.0,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699,223293.0
91,A New Day Has Come,Celine Dion,A New Day Has Come,2002,0.6910000000000001,0.64,-5.087,1.0,0.0384,0.0247,5.24e-06,0.2,0.452,101.991,210227.0
92,Turn Off the Light,Nelly Furtado,Turn Off the Light,2002,0.589,0.687,-6.222,1.0,0.097,0.0778,0.000289,0.419,0.649,180.215,276067.0
93,Living and Living Well,George Strait,Living and Living Well,2002,0.602,0.683,-6.82,1.0,0.0304,0.347,0.00338,0.11,0.522,120.787,218307.0
94,My List,Toby Keith,My List,2002,0.629,0.737,-4.309,0.0,0.0323,0.332,0.0,0.147,0.341,87.068,199813.0
95,Hands Clean,Alanis Morissette,Hands Clean,2002,0.513,0.8200000000000001,-5.428,1.0,0.0299,0.00192,2.83e-06,0.504,0.52,99.952,269400.0
96,Sk8er Boi,Avril Lavigne,Sk8er Boi,2002,0.487,0.9,-4.417,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000.0
98,Where Were You (When the World Stopped Turning),Alan Jackson,Where Were You (When the World Stopped Turning),2002,0.642,0.388,-9.194,1.0,0.0322,0.473,0.0,0.0754,0.186,115.355,305093.0
99,Like I Love You,Justin Timberlake,Like I Love You,2002,0.853,0.811,-4.927,0.0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,283627.0
100,I Do!!,Toya,I Do!!,2002,0.781,0.583,-7.83,0.0,0.0628,0.0859,0.00216,0.058,0.91,156.264,213493.0
1,In da Club,50 Cent,In da Club,2003,0.902,0.72,-2.776,0.0,0.347,0.26,0.0,0.0749,0.805,90.059,193467.0
2,Ignition,R. Kelly,Ignition,2003,0.795,0.523,-7.165,1.0,0.0423,0.061,0.0,0.0914,0.855,133.024,186067.0
3,Get Busy,Sean Paul,Get Busy,2003,0.741,0.8240000000000001,-4.143,0.0,0.0352,0.614,0.0,0.158,0.725,100.216,211666.0
4,Crazy in Love,Beyoncé,Crazy in Love,2003,0.646,0.77,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133.0
5,When I'm Gone,3 Doors Down,When I'm Gone,2003,0.53,0.768,-5.611,1.0,0.0284,0.00385,0.0,0.103,0.374,148.095,260333.0
6,Unwell,Matchbox Twenty,Unwell,2003,0.256,0.788,-5.263,0.0,0.0403,0.0298,0.0,0.707,0.429,80.718,228707.0
7,Right Thurr,Chingy,Right Thurr,2003,0.866,0.749,-3.977,1.0,0.253,0.15,0.0,0.0614,0.891,92.074,250747.0
8,Miss You,Aaliyah,Miss You,2003,0.678,0.338,-9.899,1.0,0.0319,0.655,0.0,0.215,0.502,109.888,245227.0
9,Picture,Kid Rock,Picture,2003,0.6920000000000001,0.496,-7.332,1.0,0.0241,0.172,6.42e-06,0.107,0.376,97.945,298960.0
10,Bring Me to Life,Evanescence,Bring Me to Life,2003,0.331,0.943,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893.0
11,Get Low,Lil Jon & The East Side Boyz,Get Low,2003,0.521,0.625,-7.47,1.0,0.067,0.0301,0.0,0.121,0.136,101.019,334067.0
11,Get Low,Ying Yang Twins,Get Low,2003,0.734,0.6900000000000001,-8.23,0.0,0.0351,0.0002,1.16e-05,0.0951,0.668,101.998,365360.0
12,Baby Boy,Beyoncé,Baby Boy,2003,0.655,0.488,-9.17,1.0,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827.0
12,Baby Boy,Sean Paul,Baby Boy,2003,0.677,0.621,-5.725,1.0,0.23,0.0667,2.46e-06,0.142,0.8180000000000001,91.147,246707.0
13,Shake Ya Tailfeather,Nelly,Shake Ya Tailfeather,2003,0.527,0.808,-4.749,1.0,0.295,0.176,0.0,0.169,0.907,87.025,293667.0
13,Shake Ya Tailfeather,P. Diddy,Shake Ya Tailfeather,2003,0.579,0.716,-10.267,0.0,0.35,0.295,0.0,0.228,0.715,87.642,295840.0
13,Shake Ya Tailfeather,Murphy Lee,Shake Ya Tailfeather,2003,0.715,0.733,-7.068,1.0,0.262,0.134,0.0,0.157,0.897,87.665,295173.0
14,21 Questions,50 Cent,21 Questions,2003,0.5760000000000001,0.807,-3.908,0.0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427.0
14,21 Questions,Nate Dogg,21 Questions,2003,0.561,0.775,-6.22,0.0,0.322,0.349,0.000303,0.267,0.85,90.929,134133.0
15,All I Have,Jennifer Lopez,All I Have,2003,0.6990000000000001,0.668,-5.305,1.0,0.106,0.265,0.0,0.141,0.472,83.074,254467.0
15,All I Have,LL Cool J,All I Have,2003,0.707,0.655,-5.704,1.0,0.103,0.264,0.0,0.126,0.415,83.087,254373.0
16,Beautiful,Christina Aguilera,Beautiful,2003,0.456,0.5730000000000001,-3.866,0.0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,238560.0
17,I Know What You Want,Busta Rhymes,I Know What You Want,2003,0.648,0.759,-4.315,1.0,0.306,0.0142,0.0,0.648,0.518,85.996,324307.0
18,I'm with You,Avril Lavigne,I'm with You,2003,0.467,0.667,-4.386,1.0,0.0315,0.007,0.0,0.155,0.399,91.057,187794.0
19,Drift Away,Uncle Kracker,Drift Away,2003,0.583,0.66,-5.078,1.0,0.0377,0.181,0.0,0.0979,0.861,151.956,255560.0
19,Drift Away,Dobie Gray,Drift Away,2003,0.521,0.443,-8.188,1.0,0.0395,0.308,0.0,0.475,0.596,76.228,237467.0
20,Magic Stick,Lil' Kim,Magic Stick,2003,0.849,0.499,-7.872,1.0,0.271,0.117,4.97e-05,0.268,0.504,92.982,359973.0
21,P.I.M.P.,50 Cent,P.I.M.P.,2003,0.7000000000000001,0.758,-3.012,0.0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467.0
22,"Bump, Bump, Bump",B2K,"Bump, Bump, Bump",2003,0.834,0.685,-5.862,0.0,0.225,0.0998,0.0,0.0514,0.877,95.507,278573.0
22,"Bump, Bump, Bump",P. Diddy,"Bump, Bump, Bump",2003,0.893,0.369,-7.128,0.0,0.0507,0.029,0.00058,0.0844,0.926,95.627,227738.0
